Date,Close/Last,Open,High,Low
7/24/2024,5427.13,5505.84,5508.04,5419.98
7/23/2024,5555.74,5565.3,5585.34,5550.9
7/22/2024,5564.41,5544.54,5570.36,5529.04
7/19/2024,5505,5543.37,5557.5,5497.04
7/18/2024,5544.59,5608.56,5614.05,5522.81
7/17/2024,5588.27,5610.07,5622.49,5584.81
7/16/2024,5667.2,5644.09,5669.67,5639.02
7/15/2024,5631.22,5638.16,5666.94,5614.75
7/12/2024,5615.35,5590.76,5655.56,5590.44
7/11/2024,5584.54,5635.21,5642.45,5576.53
7/10/2024,5633.91,5591.26,5635.39,5586.44
7/9/2024,5576.98,5584.24,5590.75,5574.57
7/8/2024,5572.85,5572.75,5583.11,5562.51
7/5/2024,5567.19,5537.91,5570.33,5531.63
7/3/2024,5537.02,5507.44,5539.27,5507.42
7/2/2024,5509.01,5461.84,5509.69,5458.43
7/1/2024,5475.09,5471.08,5479.55,5446.53
6/28/2024,5460.48,5488.48,5523.64,5451.12
6/27/2024,5482.87,5473.59,5490.81,5467.54
6/26/2024,5477.9,5460.71,5483.14,5451.87
6/25/2024,5469.3,5460.73,5472.88,5446.56
6/24/2024,5447.87,5459.58,5490.66,5447.59
6/21/2024,5464.62,5466.77,5478.31,5452.03
6/20/2024,5473.17,5499.99,5505.53,5455.56
6/18/2024,5487.03,5476.15,5490.38,5471.32
6/17/2024,5473.23,5431.11,5488.5,5420.4
6/14/2024,5431.6,5424.08,5432.39,5403.75
6/13/2024,5433.74,5441.93,5441.93,5402.51
6/12/2024,5421.03,5409.13,5447.25,5409.13
6/11/2024,5375.32,5353,5375.95,5327.25
6/10/2024,5360.79,5341.22,5365.79,5331.52
6/7/2024,5346.99,5343.81,5375.08,5331.33
6/6/2024,5352.96,5357.8,5362.35,5335.36
6/5/2024,5354.03,5314.48,5354.16,5297.64
6/4/2024,5291.34,5278.24,5298.8,5257.63
6/3/2024,5283.4,5297.15,5302.11,5234.32
5/31/2024,5277.51,5243.21,5280.33,5191.68
5/30/2024,5235.48,5259.77,5260.21,5222.1
5/29/2024,5266.95,5278.73,5282.27,5262.7
5/28/2024,5306.04,5315.91,5315.91,5280.89
5/24/2024,5304.72,5281.45,5311.65,5278.39
5/23/2024,5267.84,5340.26,5341.88,5256.93
5/22/2024,5307.01,5319.28,5323.18,5286.01
5/21/2024,5321.41,5298.69,5324.32,5297.87
5/20/2024,5308.13,5305.35,5325.32,5302.4
5/17/2024,5303.27,5303.1,5305.45,5283.59
5/16/2024,5297.1,5310.07,5325.49,5296.19
5/15/2024,5308.15,5263.26,5311.76,5263.26
5/14/2024,5246.68,5221.1,5250.37,5217.98
5/13/2024,5221.42,5233.08,5237.26,5211.16
5/10/2024,5222.68,5225.49,5239.66,5209.68
5/9/2024,5214.08,5189.03,5215.3,5180.41
5/8/2024,5187.67,5168.98,5191.95,5165.86
5/7/2024,5187.7,5187.2,5200.23,5178.96
5/6/2024,5180.74,5142.42,5181,5142.42
5/3/2024,5127.79,5122.78,5139.12,5101.22
5/2/2024,5064.2,5049.32,5073.21,5011.05
5/1/2024,5018.39,5029.03,5096.12,5013.45
4/30/2024,5035.69,5103.78,5110.83,5035.31
4/29/2024,5116.17,5114.13,5123.49,5088.65
4/26/2024,5099.96,5084.65,5114.62,5073.14
4/25/2024,5048.42,5019.88,5057.75,4990.58
4/24/2024,5071.63,5084.86,5089.48,5047.02
4/23/2024,5070.55,5028.85,5076.12,5027.96
4/22/2024,5010.6,4987.33,5038.84,4969.4
4/19/2024,4967.23,5005.44,5019.02,4953.56
4/18/2024,5011.12,5031.52,5056.66,5001.89
4/17/2024,5022.21,5068.97,5077.96,5007.25
4/16/2024,5051.41,5064.59,5079.84,5039.83
4/15/2024,5061.82,5149.67,5168.43,5052.47
4/12/2024,5123.41,5171.51,5175.03,5107.94
4/11/2024,5199.06,5172.95,5211.78,5138.77
4/10/2024,5160.64,5167.88,5178.43,5138.7
4/9/2024,5209.91,5217.03,5224.81,5160.78
4/8/2024,5202.39,5211.37,5219.57,5197.35
4/5/2024,5204.34,5158.95,5222.18,5157.21
4/4/2024,5147.21,5244.05,5256.59,5146.06
4/3/2024,5211.49,5194.37,5228.75,5194.37
4/2/2024,5205.81,5204.29,5208.34,5184.05
4/1/2024,5243.77,5257.97,5263.95,5229.2
3/28/2024,5254.35,5248.03,5264.85,5245.82
3/27/2024,5248.49,5226.31,5249.26,5213.92
3/26/2024,5203.58,5228.85,5235.16,5203.42
3/25/2024,5218.19,5219.52,5229.09,5216.09
3/22/2024,5234.18,5242.48,5246.09,5229.87
3/21/2024,5241.53,5253.43,5261.1,5240.66
3/20/2024,5224.62,5181.69,5226.19,5171.55
3/19/2024,5178.51,5139.09,5180.31,5131.59
3/18/2024,5149.42,5154.77,5175.6,5145.47
3/15/2024,5117.09,5123.31,5136.86,5104.35
3/14/2024,5150.48,5175.14,5176.85,5123.3
3/13/2024,5165.31,5173.49,5179.14,5151.88
3/12/2024,5175.27,5134.3,5179.87,5114.48
3/11/2024,5117.94,5111.96,5124.66,5091.14
3/8/2024,5123.69,5164.46,5189.26,5117.5
3/7/2024,5157.36,5132.38,5165.62,5128.21
3/6/2024,5104.76,5108.03,5127.97,5092.22
3/5/2024,5078.65,5110.52,5114.54,5056.82
3/4/2024,5130.95,5130.99,5149.67,5127.18
3/1/2024,5137.08,5098.51,5140.33,5094.16
2/29/2024,5096.27,5085.36,5104.99,5061.89
2/28/2024,5069.76,5067.2,5077.37,5058.35
2/27/2024,5078.18,5074.6,5080.69,5057.29
2/26/2024,5069.53,5093,5097.66,5068.91
2/23/2024,5088.8,5100.92,5111.06,5081.46
2/22/2024,5087.03,5038.83,5094.39,5038.83
2/21/2024,4981.8,4963.03,4983.21,4946
2/20/2024,4975.51,4989.32,4993.71,4955.02
